Pregao,Operacao,Ticker,Quantidade,Preco/Acao,ValorOp,Liquido,Despesas,IRRF
09/11/2020,C,TASA4,2000,8.3,16600.0,16613.31,13.31,0.0
10/11/2020,C,MRFG3,2000,14.2,28400.0,28419.31,19.31,0.0
17/11/2020,V,TASA4,2000,9.8,19600.0,19585.16,14.84,0.0
20/11/2020,C,MGLU3,500,24.1,12050.0,12061.01,11.01,0.0
23/11/2020,V,BRSR6,400,12.85,5140.0,15324.02,24.02,1.24
23/11/2020,C,TASA4,2000,10.22,20440.0,15324.02,24.02,1.24
26/11/2020,V,MRFG3,2000,15.05,30100.0,30078.34,21.66,1.5
27/11/2020,C,TASA4,4000,12.5,50000.0,20651.55,51.55,1.47
27/11/2020,V,ITUB4,1000,29.4,29400.0,20651.55,51.55,1.47
