Ticker,Quantidade,ValorInvestimento
PETR4,1300.0,23442.706535138244
TRPL4,700.0,14185.509999999998
BBDC4,550.0,13909.746190476191
ITUB4,300.0,7946.732307692308
TASA4,6000.0,70491.65
MGLU3,500.0,12061.01
