Ticker,InvName,B3Name,nosName
SADI11,Santander Papeis Imobiliários CDI,FII SANT PAPCI,FIISANTPAPCI
SAIC11B,Sia Corporate,FUNDO INVEST IMOB,FUNDOINVESTIMOB
SFND11,São Fernando,FII SAO FER CI,FIISAOFERCI
SHDP11B,Shopping Parque Dom Pedro,FII SHOP PARQUE DP,FIISHOPPARQUEDP
SHOP11,Multi Shoppings,FII MULTSHOPCI,FIIMULTSHOPCI
SPAF11,SPA Fundo de Investimento Imobiliário,FII SPA CI,FIISPACI
STRX11,STARX FII,FII STARX CI ES,FIISTARXCIES
TORM13,Tourmalet I,FII TOURMALECI,FIITOURMALECI
TOUR11,Tourmalet II,FII TOUR II CI,FIITOURIICI
TSNC11,Transinc,FII TRANSINCCI,FIITRANSINCCI
VERE11,Vereda,FII VEREDA CI,FIIVEREDACI
VLJS11,Vector Queluz Lajes Corporativas,FII VQ LAJESCI,FIIVQLAJESCI
VPSI11,Polo Shopping Indaiatuba,FII POLO SHOCI,FIIPOLOSHOCI
WTSP11B,Ourinvest RE I,FII OURINVEST RE I,FIIOURINVESTREI
VIVA3,Vivara,VIVARA S.A. ON NM,VIVARAS.A.ONNM
CEAB3,C A Modas SA,CEA MODAS ON NM,CEAMODASONNM
BMGB4,Banco BMG ON,BANCO BMG PN N1,BANCOBMGPNN1
RBCO11,Rb Cap,FII R INCOMECI,FIIRINCOMECI
IBFF11,Integral Brei Reit,FII FOF BREICI,FIIFOFBREICI
CVBI11,Vbi Cri,FII VBI CRI CI,FIIVBICRICI
HRDF11,Hedge Realty,FII HREALTY CI,FIIHREALTYCI
RSPD11,Rb Cap,FII RBRESID3CI,FIIRBRESID3CI
TCPF11,Treecorp,FII TREECORPCI,FIITREECORPCI
