Ticker,InvName,B3Name,nosName1,EDJ,nosName
LMTB34,Lockheed Martin Corp BDR,LOCKHEED DRN,LOCKHEEDDRN,LOCKHEEDDEDJRN,LOCKHEEDDN
MMMC34,3M Co BDR,3M DRN,3MDRN,3MDEDJRN,3MDN
MRCK34,Merck Co Inc BDR,MERCK DRN,MERCKDRN,MERCKDEDJRN,MERCKDN
MSCD34,MasterCard Inc BDR,MASTERCARD DRN,MASTERCARDDRN,MASTERCARDDEDJRN,MASTERCARDDN
MSFT34,Microsoft Corp BDR,MICROSOFT DRN,MICROSOFTDRN,MICROSOFTDEDJRN,MICROSOFTDN
NIKE34,Nike Inc BDR,NIKE DRN,NIKEDRN,NIKEDEDJRN,NIKEDN
ORCL34,Oracle Corp BDR,ORACLE DRN,ORACLEDRN,ORACLEDEDJRN,ORACLEDN
PFIZ34,Pfizer Inc BDR,PFIZER DRN,PFIZERDRN,PFIZERDEDJRN,PFIZERDN
PGCO34,Procter Gamble Co BDR,PG DRN,PGDRN,PGDEDJRN,PGDN
SBUB34,Starbucks Corp BDR,STARBUCKS DRN,STARBUCKSDRN,STARBUCKSDEDJRN,STARBUCKSDN
VERZ34,Verizon Communications BDR,VERIZON DRN,VERIZONDRN,VERIZONDEDJRN,VERIZONDN
VISA34,Visa Inc BDR,VISA INC DRN,VISAINCDRN,VISAINCDEDJRN,VISAINCDN
WALM34,Wal Mart Stores Inc BDR,WAL MART DRN,WALMARTDRN,WALMARTDEDJRN,WALMARTDN
WFCO34,Wells Fargo Co BDR,WELLS FARGO DRN,WELLSFARGODRN,WELLSFARGODEDJRN,WELLSFARGODN
WIZS3,FPC Par Corretora De Seguros,WIZ S.A. ON NM,WIZS.A.ONNM,WIZS.A.ONEDJNM,WIZS.A.ONN
BOEI34,Boeing Co BDR,BOEING DRN,BOEINGDRN,BOEINGDEDJRN,BOEINGDN
CHVX34,Chevron Corp BDR,CHEVRON DRN,CHEVRONDRN,CHEVRONDEDJRN,CHEVRONDN
COPH34,ConocoPhillips DRC,COPHILLIPS DRN,COPHILLIPSDRN,COPHILLIPSDEDJRN,COPHILLIPSDN
CTGP34,Citigroup Inc BDR,CITIGROUP DRN,CITIGROUPDRN,CITIGROUPDEDJRN,CITIGROUPDN
FBOK34,Facebook Inc BDR,FACEBOOK DRN,FACEBOOKDRN,FACEBOOKDEDJRN,FACEBOOKDN
IBMB34,International Business Machines BDR,IBM DRN,IBMDRN,IBMDEDJRN,IBMDN
LILY34,Eli Lilly and Co BDR,LILLY DRN,LILLYDRN,LILLYDEDJRN,LILLYDN
MCDC34,McDonalds Corp BDR,MCDONALDS DRN,MCDONALDSDRN,MCDONALDSDEDJRN,MCDONALDSDN
MFII11,Fundo Investimento Imobil Merito,FII MERITO ICI,FIIMERITOICI,FIIMERITOIEDJCI,FIIMERITOIN
MSBR34,Morgan Stanley Bank AG,MORGAN STAN DRN,MORGANSTANDRN,MORGANSTANDEDJRN,MORGANSTANDN
NFLX34,Netflix Inc DRC,NETFLIX DRN,NETFLIXDRN,NETFLIXDEDJRN,NETFLIXDN
PEPB34,PepsiCo Inc BDR,PEPSICO INC DRN,PEPSICOINCDRN,PEPSICOINCDEDJRN,PEPSICOINCDN
SLBG34,Schlumberger AG,SCHLUMBERGERDRN,SCHLUMBERGERDRN,SCHLUMBERGERDEDJRN,SCHLUMBERGERDN
UPSS34,United Parcel Service Inc,UPS DRN,UPSDRN,UPSDEDJRN,UPSDN
USBC34,U.S. Bancorp DRC,US BANCORP DRN,USBANCORPDRN,USBANCORPDEDJRN,USBANCORPDN
GUAR3,Guararapes Confeccoes ON,GUARARAPES ON,GUARARAPESON,GUARARAPESEDJON,GUARARAPESN
ACNB34,Accenture PLC BDR,ACCENTURE DRN,ACCENTUREDRN,ACCENTUREDEDJRN,ACCENTUREDN
BONY34,Bank of New York Mellon Corp BDR,BNY MELLON DRN,BNYMELLONDRN,BNYMELLONDEDJRN,BNYMELLONDN
DHER34,Danaher Corp BDR,DANAHER CORPDRN,DANAHERCORPDRN,DANAHERCORPDEDJRN,DANAHERCORPDN
IGBR3,Gradiente Electronica SA,IGB S/A ON,IGBS/AON,IGBS/AEDJON,IGBS/AN
KMBB34,Kimberly Clark Corp BDR,KIMBERLY CL DRN,KIMBERLYCLDRN,KIMBERLYCLDEDJRN,KIMBERLYCLDN
METB34,Metlife Inc BDR,METLIFE INC DRN,METLIFEINCDRN,METLIFEINCDEDJRN,METLIFEINCDN
TELB4,Telecomunicacoes Brasileira SA Pref,TELEBRAS PN,TELEBRASPN,TELEBRASEDJPN,TELEBRASN
TGTB34,Target Corp BDR,TARGET CORP DRN,TARGETCORPDRN,TARGETCORPDEDJRN,TARGETCORPDN
WHRL3,Whirlpool SA,WHIRLPOOL ON,WHIRLPOOLON,WHIRLPOOLEDJON,WHIRLPOOLN
BMYB34,Bristol Myers Squibb Company BDR,BRISTOLMYERSDRN,BRISTOLMYERSDRN,BRISTOLMYERSDEDJRN,BRISTOLMYERSDN
COLG34,Colgate Palmolive Co BDR,COLGATE DRN,COLGATEDRN,COLGATEDEDJRN,COLGATEDN
COTY34,Coty Inc BDR,COTY INC DRN,COTYINCDRN,COTYINCDEDJRN,COTYINCDN
EBAY34,eBay Inc BDR,EBAY DRN,EBAYDRN,EBAYDEDJRN,EBAYDN
FCXO34,Freeport Mcmoran Copper Gold Inc,FREEPORT DRN,FREEPORTDRN,FREEPORTDEDJRN,FREEPORTDN
FDXB34,FedEx Corp BDR,FEDEX CORP DRN,FEDEXCORPDRN,FEDEXCORPDEDJRN,FEDEXCORPDN
GDBR34,General Dynamics Corp BDR,GEN DYNAMICSDRN,GENDYNAMICSDRN,GENDYNAMICSDEDJRN,GENDYNAMICSDN
HSHY34,The Hershey Company BDR,HERSHEY CO DRN,HERSHEYCODRN,HERSHEYCODEDJRN,HERSHEYCODN
MDLZ34,Mondelez International Inc BDR,MONDELEZ INTDRN,MONDELEZINTDRN,MONDELEZINTDEDJRN,MONDELEZINTDN
MOSC34,The Mosaic Company BDR,MOSAIC CO DRN,MOSAICCODRN,MOSAICCODEDJRN,MOSAICCODN
QCOM34,Qualcomm Inc BDR,QUALCOMM DRN,QUALCOMMDRN,QUALCOMMDEDJRN,QUALCOMMDN
TEXA34,Texas Instruments Inc BDR,TEXAS INC DRN,TEXASINCDRN,TEXASINCDEDJRN,TEXASINCDN
WUNI34,The Western Union Company BDR,WESTERNUNIONDRN,WESTERNUNIONDRN,WESTERNUNIONDEDJRN,WESTERNUNIONDN
XRXB34,Xerox Corp BDR,XEROX CORP DRN,XEROXCORPDRN,XEROXCORPDEDJRN,XEROXCORPDN
SHUL4,Schulz SA,SCHULZ PN,SCHULZPN,SCHULZEDJPN,SCHULZN
ATOM3,Atom Participacoes,ATOMPAR ON,ATOMPARON,ATOMPAREDJON,ATOMPARN
KHCB34,Kraft Heinz DRC,KRAFT HEINZ DRN,KRAFTHEINZDRN,KRAFTHEINZDEDJRN,KRAFTHEINZDN
TIET11,AES TIETE E UNT N2,AES TIETE E UNT N2,AESTIETEEUNTN2,AESTIETEEUNTEDJN2,AESTIETEEUNTN
SAPR4,Companhia de Saneamento,SANEPAR PN N2,SANEPARPNN2,SANEPARPNEDJN2,SANEPARPNN
CRIV4,Financeira Alfa,ALFA FINANC PN,ALFAFINANCPN,ALFAFINANCEDJPN,ALFAFINANCN
RPMG3,Refinaria de Petroleos,PET MANGUINHON,PETMANGUINHON,PETMANGUINHEDJON,PETMANGUINHN
BRSR3,BANRISUL ON N1,BANRISUL ON N1,BANRISULONN1,BANRISULONEDJN1,BANRISULONN
ENGI11,Energisa,ENERGISA UNT N2,ENERGISAUNTN2,ENERGISAUNTEDJN2,ENERGISAUNTN
SNSY5,Sansuy,SANSUY PNA,SANSUYPNA,SANSUYPEDJNA,SANSUYPN
DMMO3,Ogx Petroleo e Gas,DOMMO ON,DOMMOON,DOMMOEDJON,DOMMON
AZEV4,Azevedo & Travassos Pref,AZEVEDO PN,AZEVEDOPN,AZEVEDOEDJPN,AZEVEDON
BAHI3,Bahema,BAHEMA ON MA,BAHEMAONMA,BAHEMAONEDJMA,BAHEMAONN
BALM4,Baumer Pref,BAUMER PN,BAUMERPN,BAUMEREDJPN,BAUMERN
BAUH4,Excelsior Alimentos Pref,EXCELSIOR PN,EXCELSIORPN,EXCELSIOREDJPN,EXCELSIORN
BDLL4,Bardella Pref,BARDELLA PN,BARDELLAPN,BARDELLAEDJPN,BARDELLAN
BEES3,Banestes,BANESTES ON,BANESTESON,BANESTESEDJON,BANESTESN
BEES4,Banestes Pref,BANESTES PN,BANESTESPN,BANESTESEDJPN,BANESTESN
BGIP4,Banese Pref,BANESE PN,BANESEPN,BANESEEDJPN,BANESEN
BMEB3,Mercantil do Brasil,MERC BRASIL ON N1,MERCBRASILONN1,MERCBRASILONEDJN1,MERCBRASILONN
BMEB4,Mercantil do Brasil Pref,MERC BRASIL PN N1,MERCBRASILPNN1,MERCBRASILPNEDJN1,MERCBRASILPNN
BMIN3,Mercantil de Investimentos,MERC INVEST ON,MERCINVESTON,MERCINVESTEDJON,MERCINVESTN
BMIN4,Mercantil de Investimentos Pref,MERC INVEST PN,MERCINVESTPN,MERCINVESTEDJPN,MERCINVESTN
BMKS3,Bicicletas Monark,BIC MONARK ON,BICMONARKON,BICMONARKEDJON,BICMONARKN
BNBR3,BNB,NORD BRASIL ON,NORDBRASILON,NORDBRASILEDJON,NORDBRASILN
BOBR4,Bombril,BOMBRIL PN,BOMBRILPN,BOMBRILEDJPN,BOMBRILN
BRIV3,Banco Alfa,ALFA INVEST ON,ALFAINVESTON,ALFAINVESTEDJON,ALFAINVESTN
BRIV4,Banco Alfa Pref,ALFA INVEST PN,ALFAINVESTPN,ALFAINVESTEDJPN,ALFAINVESTN
BSLI4,BRB Pref,BRB BANCO PN,BRBBANCOPN,BRBBANCOEDJPN,BRBBANCON
BTTL3,Battistella Administracao,BATTISTELLA ON,BATTISTELLAON,BATTISTELLAEDJON,BATTISTELLAN
CBEE3,Ampla,AMPLA ENERG ON,AMPLAENERGON,AMPLAENERGEDJON,AMPLAENERGN
CEEB3,Coelba,COELBA ON,COELBAON,COELBAEDJON,COELBAN
CEEB5,Coelba Pref,COELBA PNA,COELBAPNA,COELBAPEDJNA,COELBAPN
CEPE5,Celpe Pref,CELPE PNA,CELPEPNA,CELPEPEDJNA,CELPEPN
CGAS3,Comgas,COMGAS ON,COMGASON,COMGASEDJON,COMGASN
CRIV3,Financeira Alfa ORD,ALFA FINANC ON,ALFAFINANCON,ALFAFINANCEDJON,ALFAFINANCN
CRPG5,Cristal Pigmentos do Brasil Pref A,CRISTAL PNA,CRISTALPNA,CRISTALPEDJNA,CRISTALPN
CRPG6,Cristal Pigmentos do Brasil Pref B,CRISTAL PNB,CRISTALPNB,CRISTALPEDJNB,CRISTALPN
CSRN3,Cosern,COSERN ON,COSERNON,COSERNEDJON,COSERNN
CTKA4,Karsten Pref,KARSTEN PN,KARSTENPN,KARSTENEDJPN,KARSTENN
CTNM3,COTEMINAS,COTEMINAS ON,COTEMINASON,COTEMINASEDJON,COTEMINASN
CTSA3,Santanense,SANTANENSE ON,SANTANENSEON,SANTANENSEEDJON,SANTANENSEN
CTSA4,Santanense Pref,SANTANENSE PN,SANTANENSEPN,SANTANENSEEDJPN,SANTANENSEN
DOHL4,Dohler Pref,DOHLER PN,DOHLERPN,DOHLEREDJPN,DOHLERN
DTCY3,Dtcom,DTCOM-DIRECTON,DTCOM-DIRECTON,DTCOM-DIRECTEDJON,DTCOM-DIRECTN
EALT4,Electro Aco Altona Pref,ACO ALTONA PN,ACOALTONAPN,ACOALTONAEDJPN,ACOALTONAN
EKTR4,Elektro Pref,ELEKTRO PN,ELEKTROPN,ELEKTROEDJPN,ELEKTRON
EMAE4,EMAE Pref,EMAE PN,EMAEPN,EMAEEDJPN,EMAEN
ENGI3,Energisa ORD,ENERGISA ON N2,ENERGISAONN2,ENERGISAONEDJN2,ENERGISAONN
ENMT3,Energisa MT,ENERGISA MT ON,ENERGISAMTON,ENERGISAMTEDJON,ENERGISAMTN
ESTR4,Brinquedos Estrela,ESTRELA PN,ESTRELAPN,ESTRELAEDJPN,ESTRELAN
FESA3,Ferbasa,FERBASA ON N1,FERBASAONN1,FERBASAONEDJN1,FERBASAONN
FNAM11,Fundo de Investimento da Amazonia,FINAM CI *,FINAMCI*,FINAMCIEDJ*,FINAMCIN
FSRF11,Fdo Inv Setorial FL E Ref Fiset FL Ref,FISET FL REFCI,FISETFLREFCI,FISETFLREFEDJCI,FISETFLREFN
GPCP3,GPC Participacoes,GPC PART ON,GPCPARTON,GPCPARTEDJON,GPCPARTN
HAGA4,Haga Pref,HAGA S/A PN,HAGAS/APN,HAGAS/AEDJPN,HAGAS/AN
HBTS5,Habitasul Pref,HABITASUL PNA,HABITASULPNA,HABITASULPEDJNA,HABITASULPN
HETA4,Hercules Pref,HERCULES PN,HERCULESPN,HERCULESEDJPN,HERCULESN
HOOT4,Hoteis Othon,HOTEIS OTHONPN,HOTEISOTHONPN,HOTEISOTHONEDJPN,HOTEISOTHONN
IDVL3,BI&P,INDUSVAL ON,INDUSVALON,INDUSVALEDJON,INDUSVALN
JBDU3,Industrias JBDuarte,J B DUARTE ON,JBDUARTEON,JBDUARTEEDJON,JBDUARTEN
JBDU4,Industrias JBDuarte Pref,J B DUARTE PN,JBDUARTEPN,JBDUARTEEDJPN,JBDUARTEN
JOPA3,Josapar Joaquim Oliveira,JOSAPAR ON,JOSAPARON,JOSAPAREDJON,JOSAPARN
JOPA4,Josapar Joaquim Oliveira Pref,JOSAPAR PN,JOSAPARPN,JOSAPAREDJPN,JOSAPARN
KLBN3,KLABIN S/A ON N2,KLABIN S/A ON N2,KLABINS/AONN2,KLABINS/AONEDJN2,KLABINS/AONN
MNDL3,Mundial,MUNDIAL ON,MUNDIALON,MUNDIALEDJON,MUNDIALN
MNPR3,Minupar Participacoes,MINUPAR ON,MINUPARON,MINUPAREDJON,MINUPARN
MTSA4,METISA Pref,METISA PN,METISAPN,METISAEDJPN,METISAN
MWET4,Wetzel Pref,WETZEL S/A PN,WETZELS/APN,WETZELS/AEDJPN,WETZELS/AN
PEAB4,Alianca da Bahia Pref,PAR AL BAHIAPN,PARALBAHIAPN,PARALBAHIAEDJPN,PARALBAHIAN
PNVL3,Dimed,DIMED ON,DIMEDON,DIMEDEDJON,DIMEDN
PNVL4,Dimed Pref,DIMED PN,DIMEDPN,DIMEDEDJPN,DIMEDN
RANI3,Celulose Irani,IRANI ON NM,IRANIONNM,IRANIONEDJNM,IRANIONN
RCSL3,Recrusul,RECRUSUL ON,RECRUSULON,RECRUSULEDJON,RECRUSULN
RCSL4,Recrusul Pref,RECRUSUL PN,RECRUSULPN,RECRUSULEDJPN,RECRUSULN
REDE3,Rede Energia,REDE ENERGIAON,REDEENERGIAON,REDEENERGIAEDJON,REDEENERGIAN
RPAD5,Alfa Holdings Pref A,ALFA HOLDINGPNA,ALFAHOLDINGPNA,ALFAHOLDINGPEDJNA,ALFAHOLDINGPN
RPAD6,Alfa Holdings Pref B,ALFA HOLDINGPNB,ALFAHOLDINGPNB,ALFAHOLDINGPEDJNB,ALFAHOLDINGPN
WLMM3,WLM Industria e Comercio,WLM IND COM ON,WLMINDCOMON,WLMINDCOMEDJON,WLMINDCOMN
WLMM4,WLM Industria e Comercio,WLM IND COM PN,WLMINDCOMPN,WLMINDCOMEDJPN,WLMINDCOMN
SLED3,Saraiva,SARAIVA LIVRON N2,SARAIVALIVRONN2,SARAIVALIVRONEDJN2,SARAIVALIVRONN
SOND5,Sondotecnica Pref A,SONDOTECNICAPNA,SONDOTECNICAPNA,SONDOTECNICAPEDJNA,SONDOTECNICAPN
SOND6,Sondotecnica Pref B,SONDOTECNICAPNB,SONDOTECNICAPNB,SONDOTECNICAPEDJNB,SONDOTECNICAPN
TCNO4,Tecnosolo Pref,TECNOSOLO PN,TECNOSOLOPN,TECNOSOLOEDJPN,TECNOSOLON
TELB3,Telebras,TELEBRAS ON,TELEBRASON,TELEBRASEDJON,TELEBRASN
TRPL3,CTEEP,TRAN PAULISTON N1,TRANPAULISTONN1,TRANPAULISTONEDJN1,TRANPAULISTONN
UNIP5,Unipar Carbocloro Pref,UNIPAR PNA,UNIPARPNA,UNIPARPEDJNA,UNIPARPN
USIM6,USIMINAS PNB,USIMINAS PNB N1,USIMINASPNBN1,USIMINASPNBEDJN1,USIMINASPNBN
VULC3,Vulcabras Azaleia,VULCABRAS ON NM,VULCABRASONNM,VULCABRASONEDJNM,VULCABRASONN
VVAR3,Via Varejo,VIAVAREJO ON NM,VIAVAREJOONNM,VIAVAREJOONEDJNM,VIAVAREJOONN
WHRL4,Whirlpool Pref,WHIRLPOOL PN,WHIRLPOOLPN,WHIRLPOOLEDJPN,WHIRLPOOLN
ALMI11,FII Torre Almirante,FII TORRE ALCI,FIITORREALCI,FIITORREALEDJCI,FIITORREALN
ANCR11B,FII Ancar IC,FD INV IM ANCAR IC,FDINVIMANCARIC,FDINVIMANCAREDJIC,FDINVIMANCARN
BBFI11B,Progressivo,BB FDO DE INVST I,BBFDODEINVSTI,BBFDODEINVSTEDJI,BBFDODEINVSTN
BCFF11,BB Renda Corporativa,FII BC FFII CI,FIIBCFFIICI,FIIBCFFIIEDJCI,FIIBCFFIIN
CEOC11,FII Ceo Cyrela Commercial,FII CEO CCP CI,FIICEOCCPCI,FIICEOCCPEDJCI,FIICEOCCPN
CNES11,FII Cenesp,FII CENESP CI,FIICENESPCI,FIICENESPEDJCI,FIICENESPN
MRSA6BF,MRS Logistica B,MRS LOGISTICA,MRSLOGISTICA,MRSLOGISTIEDJCA,MRSLOGISTIN
CXCE11B,FII CAIXA CEDAE,FD INV IMOB CAIXA,FDINVIMOBCAIXA,FDINVIMOBCAIEDJXA,FDINVIMOBCAIN
DRIT11B,Multigestao Renda Comercial,MULTIGESTAO RENDA,MULTIGESTAORENDA,MULTIGESTAORENEDJDA,MULTIGESTAORENN
EDFO11B,Edificio Ourinvest,FD INV IMOB ED OUR,FDINVIMOBEDOUR,FDINVIMOBEDOEDJUR,FDINVIMOBEDON
EDGA11,FII Edificio Galeria,FII GALERIA CI,FIIGALERIACI,FIIGALERIAEDJCI,FIIGALERIAN
FAED11,FII Anhanguera Educacional,FII ANH EDUCCI,FIIANHEDUCCI,FIIANHEDUCEDJCI,FIIANHEDUCN
FAMB11B,FII Edificio Almirante Barroso,FD INV IM ALM BARR,FDINVIMALMBARR,FDINVIMALMBAEDJRR,FDINVIMALMBAN
FCFL11,Campus Faria Lima FII,FII CAMPUSFLCI,FIICAMPUSFLCI,FIICAMPUSFLEDJCI,FIICAMPUSFLN
FEXC11,FII Excellence,FII EXCELLENCI,FIIEXCELLENCI,FIIEXCELLENEDJCI,FIIEXCELLENN
FIIP11B,RB Capital,RB CAP RENDA I FD,RBCAPRENDAIFD,RBCAPRENDAIEDJFD,RBCAPRENDAIN
FLRP11,Floripa Shopping FII,FII FLORIPA CI,FIIFLORIPACI,FIIFLORIPAEDJCI,FIIFLORIPAN
HCRI11,FII Hospital da Crianca,FII CRIANCA CI,FIICRIANCACI,FIICRIANCAEDJCI,FIICRIANCAN
HTMX11,FII Hotel Maxinvest,FII HOTEL MXCI,FIIHOTELMXCI,FIIHOTELMXEDJCI,FIIHOTELMXN
JRDM11,FII BM Jardim Sul,FII SHOPJSULCI,FIISHOPJSULCI,FIISHOPJSULEDJCI,FIISHOPJSULN
MAXR11,Max Retail FII,FII MAX RET CI,FIIMAXRETCI,FIIMAXRETEDJCI,FIIMAXRETN
NSLU11,FII Nossa Senhora De Lourdes,FII LOURDES CI,FIILOURDESCI,FIILOURDESEDJCI,FIILOURDESN
TRNT11,FII Torre Norte,FII TORRE NOCI,FIITORRENOCI,FIITORRENOEDJCI,FIITORRENON
ARNC34,Arconic BDR,HOWMET AERO DRN,HOWMETAERODRN,HOWMETAERODEDJRN,HOWMETAERODN
ABBV34,AbbVie DRC,ABBVIE DRN,ABBVIEDRN,ABBVIEDEDJRN,ABBVIEDN
BBYY34,Best Buy,BEST BUY DRN,BESTBUYDRN,BESTBUYDEDJRN,BESTBUYDN
BCRI11,Banestes Recebiveis FII,FII BEES CRICI,FIIBEESCRICI,FIIBEESCRIEDJCI,FIIBEESCRIN
BIIB34,Biogen DRC,BIOGEN DRN,BIOGENDRN,BIOGENDEDJRN,BIOGENDN
BLAK34,BlackRock DRC,BLACKROCK DRN,BLACKROCKDRN,BLACKROCKDEDJRN,BLACKROCKDN
COWC34,Costco Wholesale DRC,COSTCO DRN,COSTCODRN,COSTCODEDJRN,COSTCODN
CTSH34,Cognizant Tech DRC,COGNIZANT DRN,COGNIZANTDRN,COGNIZANTDEDJRN,COGNIZANTDN
CVSH34,CVS Health DRC,CVS HEALTH DRN,CVSHEALTHDRN,CVSHEALTHDEDJRN,CVSHEALTHDN
CXRI11,FII Caixa Rio Bravo,FII CX RBRAVCI,FIICXRBRAVCI,FIICXRBRAVEDJCI,FIICXRBRAVN
DEAI34,Delta Air Lines,DELTA DRN,DELTADRN,DELTADEDJRN,DELTADN
FSLR34,First Solar Inc,FIRST SOLAR DRN,FIRSTSOLARDRN,FIRSTSOLARDEDJRN,FIRSTSOLARDN
GILD34,Gilead Sciences DRC,GILEAD DRN,GILEADDRN,GILEADDEDJRN,GILEADDN
GOGL34,Alphabet A BDR,ALPHABET DRN A,ALPHABETDRNA,ALPHABETDRNEDJA,ALPHABETDRNN
GOGL35,Alphabet C BDR,ALPHABET DRN C,ALPHABETDRNC,ALPHABETDRNEDJC,ALPHABETDRNN
GPSI34,Gap,GAP DRN,GAPDRN,GAPDEDJRN,GAPDN
MACY34,Macy’s,MACY S DRN,MACYSDRN,MACYSDEDJRN,MACYSDN
MDTC34,Medtronic DRC,MEDTRONIC DRN,MEDTRONICDRN,MEDTRONICDEDJRN,MEDTRONICDN
RIGG34,Transocean,TRANSOCEAN DRN,TRANSOCEANDRN,TRANSOCEANDEDJRN,TRANSOCEANDN
ROST34,Ross Stores DRC,ROSS STORES DRN,ROSSSTORESDRN,ROSSSTORESDEDJRN,ROSSSTORESDN
SCHW34,Charles Schwab,SCHWAB DRN,SCHWABDRN,SCHWABDEDJRN,SCHWABDN
SSFO34,Salesforce.com DRC,SALESFORCE DRN,SALESFORCEDRN,SALESFORCEDEDJRN,SALESFORCEDN
TMOS34,Thermo Fisher Scientific,THERMFISCHERDRN,THERMFISCHERDRN,THERMFISCHERDEDJRN,THERMFISCHERDN
TRVC34,Travelers Companies DRC,TRAVELERS DRN,TRAVELERSDRN,TRAVELERSDEDJRN,TRAVELERSDN
USSX34,United States Steel,US STEEL DRN,USSTEELDRN,USSTEELDEDJRN,USSTEELDN
VLOE34,Valero Energy DRC,VALERO ENER DRN,VALEROENERDRN,VALEROENERDEDJRN,VALEROENERDN
WSON33,Wilson Sons,WILSON SONS DR3,WILSONSONSDR3,WILSONSONSDEDJR3,WILSONSONSDN
AALR3,Centro de Imagem Diagnosticos,ALLIAR ON NM,ALLIARONNM,ALLIARONEDJNM,ALLIARONN
AFLT3,Afluente Transmissao de Energia,AFLUENTE T ON,AFLUENTETON,AFLUENTETEDJON,AFLUENTETN
BGIP3,Banco do Estado de Sergipe,BANESE ON,BANESEON,BANESEEDJON,BANESEN
BNFS11,FII Banrisul Novas Fronteiras,FII BANRISULCI,FIIBANRISULCI,FIIBANRISULEDJCI,FIIBANRISULN
CBOP11,FII Castello Branco Office,FII C BRANCOCI,FIICBRANCOCI,FIICBRANCOEDJCI,FIICBRANCON
CEBR3,CEB,CEB ON,CEBON,CEBEDJON,CEBN
CEDO3,Cedro Cachoeira,CEDRO ON N1,CEDROONN1,CEDROONEDJN1,CEDROONN
ESUD11,FIP Infra-Estr BB Votorantim Ener Sustentavel II A,FIP IE II CI,FIPIEIICI,FIPIEIIEDJCI,FIPIEIIN
ESUT11,FIP Infra-Estr BB Votorantim Ener Sustentavel III,FIP IE III CI,FIPIEIIICI,FIPIEIIIEDJCI,FIPIEIIIN
FIIB11,FII Industrial do Brasil,FII INDL BR CI,FIIINDLBRCI,FIIINDLBREDJCI,FIIINDLBRN
FIVN11,FII Vida Nova,FII VIDANOVACI,FIIVIDANOVACI,FIIVIDANOVAEDJCI,FIIVIDANOVAN
FMOF11,FII Memorial Office,FII MEMORIALCI,FIIMEMORIALCI,FIIMEMORIALEDJCI,FIIMEMORIALN
FNOR11,FINOR,FINOR CI *,FINORCI*,FINORCIEDJ*,FINORCIN
FSPE11,FI Setoriais Fiset Pesca,FISET PESCA CI,FISETPESCACI,FISETPESCAEDJCI,FISETPESCAN
FSTU11,Fuente Internacional de Servicios para Turistas,FISET TUR CI,FISETTURCI,FISETTUREDJCI,FISETTURN
GPAR3,Celgpar,CELGPAR ON,CELGPARON,CELGPAREDJON,CELGPARN
GRLV11,CSHG GR Louveira FII,FII LOUVEIRACI,FIILOUVEIRACI,FIILOUVEIRAEDJCI,FIILOUVEIRAN
MAPT3,Cemepe Investimentos,CEMEPE ON,CEMEPEON,CEMEPEEDJON,CEMEPEN
MMXM11,MMX Mineracao e Metalicos,MMX MINER TPR NM,MMXMINERTPRNM,MMXMINERTPREDJNM,MMXMINERTPRN
PABY11,FII Panamby,FII PANAMBY CI,FIIPANAMBYCI,FIIPANAMBYEDJCI,FIIPANAMBYN
PATI4,Panatlantica,PANATLANTICAPN,PANATLANTICAPN,PANATLANTICAEDJPN,PANATLANTICAN
PLRI11,Polo FII Recebiveis Imobiliarios I,FII POLO I CI,FIIPOLOICI,FIIPOLOIEDJCI,FIIPOLOIN
PORD11,Polo FII Recebiveis Imobiliarios II,FII POLO CRICI,FIIPOLOCRICI,FIIPOLOCRIEDJCI,FIIPOLOCRIN
RBDS11,FII RB Capital Desenvolvimento Residencial II,FII RBRESID2CI,FIIRBRESID2CI,FIIRBRESID2EDJCI,FIIRBRESID2N
RPAD3,Alfa Holdings,ALFA HOLDINGON,ALFAHOLDINGON,ALFAHOLDINGEDJON,ALFAHOLDINGN
SCPF11,SCP FII,FII SCP CI,FIISCPCI,FIISCPEDJCI,FIISCPN
VSPT3,Ferrovia Centro Atlantica,FER C ATLANTON,FERCATLANTON,FERCATLANTEDJON,FERCATLANTN
XPOM11,FIP XP Omega I,FIP XP OMEGACI,FIPXPOMEGACI,FIPXPOMEGAEDJCI,FIPXPOMEGAN
AIGB34,AIG BDR,AIG GROUP DRN,AIGGROUPDRN,AIGGROUPDEDJRN,AIGGROUPDN
DUKB34,Duke Energy,DUKE ENERGY DRN,DUKEENERGYDRN,DUKEENERGYDEDJRN,DUKEENERGYDN
MOVI3,Movida Participacoes,MOVIDA ON NM,MOVIDAONNM,MOVIDAONEDJNM,MOVIDAONN
PARD3,Instituto Hermes Pardini,IHPARDINI ON NM,IHPARDINIONNM,IHPARDINIONEDJNM,IHPARDINIONN
BPAC11,Banco BTG,BTGP BANCO UNT N2,BTGPBANCOUNTN2,BTGPBANCOUNTEDJN2,BTGPBANCOUNTN
PPLA11,BTG Pactual Unit,PPLA UNT,PPLAUNT,PPLAUEDJNT,PPLAUN
AALL34,American Airlines DRC,AMERICAN AIRDRN,AMERICANAIRDRN,AMERICANAIRDEDJRN,AMERICANAIRDN
GMCO34,General Motors,GENERAL MOT DRN,GENERALMOTDRN,GENERALMOTDEDJRN,GENERALMOTDN
LBRN34,L Brands DRC,L BRANDS DRN,LBRANDSDRN,LBRANDSDEDJRN,LBRANDSDN
TWTR34,Twitter,TWITTER DRN,TWITTERDRN,TWITTERDEDJRN,TWITTERDN
UPAC34,Union Pacific,UNIONPACIFICDRN,UNIONPACIFICDRN,UNIONPACIFICDEDJRN,UNIONPACIFICDN
