Ticker,InvName,B3Name,nosName1,EDJ,nosName
MDIA3,M.DIASBRANCO ON,M.DIASBRANCOON NM,M.DIASBRANCOONNM,M.DIASBRANCOONEDJNM,M.DIASBRANCOONN
MGEL4,MANGELS INDL PN,MANGELS INDLPN,MANGELSINDLPN,MANGELSINDLEDJPN,MANGELSINDLN
MGLU3,MAGAZ LUIZA ON,MAGAZ LUIZA ON NM,MAGAZLUIZAONNM,MAGAZLUIZAONEDJNM,MAGAZLUIZAONN
MILS3,MILLS ON,MILLS ON NM,MILLSONNM,MILLSONEDJNM,MILLSONN
MMXM3,MMX MINER ON,MMX MINER ON NM,MMXMINERONNM,MMXMINERONEDJNM,MMXMINERONN
ENEV3,ENEVA ON NM,ENEVA ON NM,ENEVAONNM,ENEVAONEDJNM,ENEVAONN
MRFG3,MARFRIG ON,MARFRIG ON NM,MARFRIGONNM,MARFRIGONEDJNM,MARFRIGONN
MRVE3,MRV ON,MRV ON NM,MRVONNM,MRVONEDJNM,MRVONN
MTIG4,METAL IGUACU PN,METAL IGUACUPN,METALIGUACUPN,METALIGUACUEDJPN,METALIGUACUN
MULT3,MULTIPLAN ON,MULTIPLAN ON N2,MULTIPLANONN2,MULTIPLANONEDJN2,MULTIPLANONN
MYPK3,IOCHP-MAXION ON,IOCHP-MAXIONON NM,IOCHP-MAXIONONNM,IOCHP-MAXIONONEDJNM,IOCHP-MAXIONONN
ODPV3,ODONTOPREV ON,ODONTOPREV ON NM,ODONTOPREVONNM,ODONTOPREVONEDJNM,ODONTOPREVONN
OSXB3,OSX BRASIL ON,OSX BRASIL ON NM,OSXBRASILONNM,OSXBRASILONEDJNM,OSXBRASILONN
PDGR3,PDG REALT ON,PDG REALT ON NM,PDGREALTONNM,PDGREALTONEDJNM,PDGREALTONN
PETR3,PETROBRAS ON,PETROBRAS ON N2,PETROBRASONN2,PETROBRASONEDJN2,PETROBRASONN
PETR4,PETROBRAS PN,PETROBRAS PN N2,PETROBRASPNN2,PETROBRASPNEDJN2,PETROBRASPNN
PFRM3,PROFARMA ON,PROFARMA ON NM,PROFARMAONNM,PROFARMAONEDJNM,PROFARMAONN
PINE4,PINE PN,PINE PN N2,PINEPNN2,PINEPNEDJN2,PINEPNN
PLAS3,PLASCAR PART ON,PLASCAR PARTON,PLASCARPARTON,PLASCARPARTEDJON,PLASCARPARTN
PMAM3,PARANAPANEMA ON,PARANAPANEMAON NM,PARANAPANEMAONNM,PARANAPANEMAONEDJNM,PARANAPANEMAONN
POMO3,MARCOPOLO ON,MARCOPOLO ON N2,MARCOPOLOONN2,MARCOPOLOONEDJN2,MARCOPOLOONN
POMO4,MARCOPOLO PN,MARCOPOLO PN N2,MARCOPOLOPNN2,MARCOPOLOPNEDJN2,MARCOPOLOPNN
POSI3,POSITIVO INF ON,POSITIVO TECON NM,POSITIVOTECONNM,POSITIVOTECONEDJNM,POSITIVOTECONN
PSSA3,PORTO SEGURO ON,PORTO SEGUROON NM,PORTOSEGUROONNM,PORTOSEGUROONEDJNM,PORTOSEGUROONN
PTBL3,PORTOBELLO ON,PORTOBELLO ON NM,PORTOBELLOONNM,PORTOBELLOONEDJNM,PORTOBELLOONN
PTNT4,PETTENATI PN,PETTENATI PN,PETTENATIPN,PETTENATIEDJPN,PETTENATIN
ENAT3,Enauta ON,ENAUTA PART ON NM,ENAUTAPARTONNM,ENAUTAPARTONEDJNM,ENAUTAPARTONN
